,Gene_Pair,Min_Score,TCGA_Samples
5327,interaction_CTCF_EEF2,-3.269,['TCGA-DF-A2KU-01']
36500,interaction_EEF2_TRRAP,-3.2041000000000004,['TCGA-DF-A2KU-01']
9001,interaction_XPO1_EEF2,-3.2020999999999997,['TCGA-A5-A2K5-01']
36410,interaction_EEF2_CDAN1,-3.17,['TCGA-DF-A2KU-01']
36497,interaction_EEF2_POLE,-3.1538000000000004,['TCGA-DF-A2KU-01']
27706,interaction_CLTC_EEF2,-3.1466000000000003,['TCGA-DF-A2KU-01']
36419,interaction_EEF2_DNM2,-3.1078,['TCGA-DF-A2KU-01']
36469,interaction_EEF2_CNOT3,-3.1052,['TCGA-DF-A2KU-01']
36499,interaction_EEF2_ATP1A1,-3.1036,['TCGA-DF-A2KU-01']
36429,interaction_EEF2_MTOR,-3.0992,['TCGA-DF-A2KU-01']
36402,interaction_EEF2_SCAP,-3.0788,['TCGA-DF-A2KU-01']
36536,interaction_EEF2_RAD21,-3.0544000000000002,['TCGA-06-5416-01']
36544,interaction_EEF2_WNK1,-3.0433000000000003,['TCGA-DF-A2KU-01']
36538,interaction_EEF2_CHD4,-3.0318,['TCGA-DF-A2KU-01']
8011,interaction_POLD1_EEF2,-3.0250000000000004,['TCGA-DF-A2KU-01']
36601,interaction_EEF2_LRPPRC,-3.0183999999999997,['TCGA-DF-A2KU-01']
36436,interaction_EEF2_PCF11,-2.9845,['TCGA-DF-A2KU-01']
36531,interaction_EEF2_MED1,-2.9785000000000004,['TCGA-DF-A2KU-01']
36581,interaction_EEF2_WDR7,-2.9742,['TCGA-DF-A2KU-01']
21050,interaction_IARS2_EEF2,-2.9707,['TCGA-A5-A2K5-01']
6677,interaction_VPS41_EEF2,-2.9451,['TCGA-DF-A2KU-01']
36455,interaction_EEF2_BRD4,-2.9432,['TCGA-DF-A2KU-01']
36503,interaction_EEF2_SF3B1,-2.9328000000000003,['TCGA-06-5416-01']
18702,interaction_NCAPD3_EEF2,-2.9146,['TCGA-DF-A2KU-01']
36594,interaction_EEF2_IPO9,-2.9074,['TCGA-DF-A2KU-01']
36606,interaction_EEF2_HIRA,-2.8767,['TCGA-DF-A2KU-01']
5442,interaction_CTCF_TRRAP,-2.8535000000000004,['TCGA-DF-A2KU-01']
36504,interaction_EEF2_PPP2R1A,-2.8529,['TCGA-06-5416-01']
13187,interaction_ERCC2_EEF2,-2.8528000000000002,['TCGA-DF-A2KU-01']
5229,interaction_CTCF_XPO1,-2.8453,['TCGA-A5-A2K5-01']
36569,interaction_EEF2_NCAPG2,-2.8346999999999998,['TCGA-DF-A2KU-01']
10631,interaction_RBBP6_EEF2,-2.8319,['TCGA-DF-A2KU-01']
5352,interaction_CTCF_CDAN1,-2.8194,['TCGA-DF-A2KU-01']
32815,interaction_KIF18A_EEF2,-2.8103,['TCGA-06-5416-01']
5439,interaction_CTCF_POLE,-2.8032000000000004,['TCGA-DF-A2KU-01']
36525,interaction_EEF2_TRPM7,-2.7995,['TCGA-DF-A2KU-01']
36537,interaction_EEF2_RTTN,-2.7961,['TCGA-DF-A2KU-01']
5292,interaction_CTCF_CLTC,-2.7960000000000003,['TCGA-DF-A2KU-01']
36518,interaction_EEF2_PTPN23,-2.7805,['TCGA-2W-A8YY-01']
36568,interaction_EEF2_AARS2,-2.7763,['TCGA-B5-A3FC-01']
20469,interaction_TPR_EEF2,-2.7762000000000002,['TCGA-DF-A2KU-01']
19590,interaction_ATR_EEF2,-2.7749,['TCGA-DF-A2KU-01']
36519,interaction_EEF2_UBR4,-2.7745,['TCGA-DF-A2KU-01']
36443,interaction_EEF2_PIK3C3,-2.77,['TCGA-DF-A2KU-01']
5361,interaction_CTCF_DNM2,-2.7572,['TCGA-DF-A2KU-01']
5411,interaction_CTCF_CNOT3,-2.7546,['TCGA-DF-A2KU-01']
41946,interaction_CDAN1_TRRAP,-2.7545,['TCGA-DF-A2KU-01']
5441,interaction_CTCF_ATP1A1,-2.753,['TCGA-DF-A2KU-01']
36412,interaction_EEF2_NUP214,-2.7496,['TCGA-DF-A2KU-01']
5371,interaction_CTCF_MTOR,-2.7486,['TCGA-DF-A2KU-01']
21625,interaction_ZNF217_EEF2,-2.7430000000000003,['TCGA-DF-A2KU-01']
56036,interaction_POLE_TRRAP,-2.7383,['TCGA-DF-A2KU-01']
27821,interaction_CLTC_TRRAP,-2.7311,['TCGA-DF-A2KU-01']
5344,interaction_CTCF_SCAP,-2.7282,['TCGA-DF-A2KU-01']
35922,interaction_CNOT1_EEF2,-2.7234,['TCGA-DF-A2KU-01']
5478,interaction_CTCF_RAD21,-2.7203,['TCGA-B5-A3FC-01']
36526,interaction_EEF2_DDX27,-2.7112,['TCGA-2W-A8YY-01']
36534,interaction_EEF2_PFAS,-2.7098,['TCGA-DF-A2KU-01']
41943,interaction_CDAN1_POLE,-2.7042,['TCGA-DF-A2KU-01']
36458,interaction_EEF2_MBTPS1,-2.7031,['TCGA-DF-A2KU-01']
36595,interaction_EEF2_NUP98,-2.6975000000000002,['TCGA-DF-A2KU-01']
27731,interaction_CLTC_CDAN1,-2.697,['TCGA-DF-A2KU-01']
9026,interaction_XPO1_CDAN1,-2.6963999999999997,['TCGA-A5-A2K5-01']
9116,interaction_XPO1_TRRAP,-2.6957,['TCGA-AJ-A3EL-01']
32322,interaction_SETDB1_EEF2,-2.6942,['TCGA-DF-A2KU-01']
5486,interaction_CTCF_WNK1,-2.6927000000000003,['TCGA-DF-A2KU-01']
43754,interaction_DNM2_TRRAP,-2.6923000000000004,['TCGA-DF-A2KU-01']
8966,interaction_XPO1_CLTC,-2.6901,['TCGA-A5-A2K5-01']
52326,interaction_CNOT3_TRRAP,-2.6897,['TCGA-DF-A2KU-01']
