Sample	Gene	SE_Score
TCGA-02-0047-01	ITGB5	0.0063
TCGA-02-0055-01	ITGB5	0.0066
TCGA-02-2483-01	GGNBP2	0.0064
TCGA-02-2485-01	BCAR1	0.0059
TCGA-05-4244-01	EP300	0.0059
TCGA-05-4250-01	EP300	0.0067
TCGA-05-4382-01	CCNE1	0.0026
TCGA-05-4384-01	FERMT2	0.0048
TCGA-05-4389-01	EP300	0.0064
TCGA-05-4390-01	PSMD7	0.0035
TCGA-05-4395-01	VRK1	0.0034
TCGA-05-4396-01	EP300	0.0086
TCGA-05-4397-01	CDAN1	0.0027
TCGA-05-4398-01	WDR1	0.0041
TCGA-05-4402-01	CFLAR	0.0048
TCGA-05-4403-01	EP300	0.0046
TCGA-05-4405-01	EP300	0.0035
TCGA-05-4410-01	EP300	0.0024
TCGA-05-4415-01	EP300	0.0058
TCGA-05-4417-01	CASC3	0.0044
TCGA-05-4418-01	GPX4	0.0053
TCGA-05-4420-01	ELMO2	0.0031
TCGA-05-4422-01	ITGB5	0.0064
TCGA-05-4424-01	EP300	0.0049
TCGA-05-4425-01	ELMO2	0.0076
TCGA-05-4426-01	ITGB5	0.0061
TCGA-05-4427-01	HSPA8	0.0030
TCGA-05-4430-01	EP300	0.0055
TCGA-05-4432-01	MDM2	0.0032
TCGA-05-4433-01	ITGB5	0.0081
TCGA-05-4434-01	ITGB5	0.0077
TCGA-05-5423-01	EP300	0.0046
TCGA-05-5425-01	HSPA8	0.0046
TCGA-05-5428-01	CASC3	0.0048
TCGA-05-5429-01	ELMO2	0.0080
TCGA-05-5715-01	ITGB5	0.0054
TCGA-06-0125-01	LSM5	0.0047
TCGA-06-0129-01	BCAR1	0.0083
TCGA-06-0130-01	ITGB5	0.0064
TCGA-06-0139-01	UFM1	0.0086
TCGA-06-0141-01	ITGB5	0.0085
TCGA-06-0190-01	ITGB5	0.0052
TCGA-06-0210-01	ELMO2	0.0051
TCGA-06-0211-01	EP300	0.0060
TCGA-06-0878-01	ITGB5	0.0071
