Sample,Gene,SE_Score
TCGA-V4-A9E5-01,KIRREL,-0.028267086
TCGA-YL-A8HK-01,KIRREL,-0.028182566
TCGA-BJ-A0ZE-01,KIRREL,-0.027903944
TCGA-YL-A9WX-01,KIRREL,-0.027878284
TCGA-PR-A5PH-01,KIRREL,-0.027695537
TCGA-V4-A9EH-01,KIRREL,-0.027655333
TCGA-XU-A931-01,KIRREL,-0.027594894
TCGA-BH-A6R9-01,KIRREL,-0.027569175
TCGA-RW-A67X-01,KIRREL,-0.027503222
TCGA-XR-A8TE-01,KIRREL,-0.027467102
TCGA-B6-A0WW-01,KIRREL,-0.027442098
TCGA-DJ-A13X-01,KIRREL,-0.027345419
TCGA-2G-AALY-01,KIRREL,-0.027262866
TCGA-VD-A8KL-01,KIRREL,-0.027134538
TCGA-V4-A9ET-01,KIRREL,-0.027133226
TCGA-QR-A6H3-01,KIRREL,-0.027124554
TCGA-EJ-A7NK-01,KIRREL,-0.027100354
TCGA-DX-A6BE-01,KIRREL,-0.027096301
TCGA-V4-A9EL-01,KIRREL,-0.02702722
TCGA-DE-A4M8-01,KIRREL,-0.026989758
TCGA-4X-A9FB-01,KIRREL,-0.026944429
TCGA-YU-A90Y-01,KIRREL,-0.02692616
TCGA-BJ-A192-01,KIRREL,-0.026905715
TCGA-BH-A0DV-01,KIRREL,-0.026894659
TCGA-FY-A3WA-01,KIRREL,-0.026893258
TCGA-IB-AAUS-01,KIRREL,-0.02686438
TCGA-AR-A2LM-01,KIRREL,-0.02685085
TCGA-VF-A8AE-01,KIRREL,-0.026821375
TCGA-FY-A2QD-01,KIRREL,-0.026800096
TCGA-EM-A2CQ-01,KIRREL,-0.026791424
TCGA-E2-A1IO-01,KIRREL,-0.026768476
TCGA-D8-A27E-01,KIRREL,-0.026750892
TCGA-QR-A6GZ-01,KIRREL,-0.026747942
TCGA-V4-A9E8-01,KIRREL,-0.026747435
TCGA-RD-A8N4-01,KIRREL,-0.026734054
TCGA-HT-7676-01,TBC1D3,-0.026693344
TCGA-V4-A9F2-01,KIRREL,-0.026676267
TCGA-44-6148-01,KIRREL,-0.026664495
TCGA-J4-AATV-01,KIRREL,-0.026657045
TCGA-S7-A7WV-01,KIRREL,-0.02665481
TCGA-2G-AALZ-01,KIRREL,-0.026643485
TCGA-DJ-A4V0-01,KIRREL,-0.026612043
TCGA-XD-AAUG-01,KIRREL,-0.026606947
TCGA-GM-A4E0-01,KIRREL,-0.026591867
TCGA-WC-A88A-01,KIRREL,-0.026581794
TCGA-B6-A0WY-01,KIRREL,-0.026563317
TCGA-E8-A44M-01,KIRREL,-0.026548266
TCGA-XM-A8RL-01,KIRREL,-0.026542574
TCGA-3H-AB3O-01,KIRREL,-0.02650237
TCGA-EM-A3FQ-01,KIRREL,-0.02649948
TCGA-AO-A03U-01,KIRREL,-0.02648747
TCGA-HZ-8638-01,KIRREL,-0.02646324
TCGA-V4-A9F3-01,KIRREL,-0.02646169
TCGA-OL-A5RY-01,KIRREL,-0.026445925
TCGA-LL-A440-01,KIRREL,-0.026436329
TCGA-A2-A0ST-01,KIRREL,-0.026432753
TCGA-EJ-5502-01,KIRREL,-0.026418924
TCGA-P7-A5NY-01,KIRREL,-0.02641818
TCGA-C5-A8YT-01,KIRREL,-0.02640593
TCGA-60-2716-01,KIRREL,-0.026356667
TCGA-DJ-A2PT-01,KIRREL,-0.026348263
TCGA-P5-A5EY-01,KIRREL,-0.026339471
TCGA-XF-AAME-01,KIRREL,-0.026325315
TCGA-TM-A84B-01,KIRREL,-0.026324153
TCGA-HU-A4GJ-01,KIRREL,-0.02631396
TCGA-VD-A8K7-01,KIRREL,-0.026303679
TCGA-2G-AAH0-01,KIRREL,-0.026288778
TCGA-HZ-7924-01,KIRREL,-0.026288778
TCGA-BJ-A0ZJ-01,KIRREL,-0.026279926
TCGA-ZB-A96P-01,KIRREL,-0.02627042
TCGA-BJ-A45K-01,KIRREL,-0.026270181
TCGA-EM-A1CW-01,KIRREL,-0.026269704
TCGA-IB-A5ST-01,KIRREL,-0.026266694
TCGA-FC-A8O0-01,KIRREL,-0.026234806
TCGA-FK-A3SE-01,KIRREL,-0.026231885
TCGA-J4-A67R-01,KIRREL,-0.026229203
TCGA-RT-A6YC-01,KIRREL,-0.026226789
TCGA-V4-A9EY-01,KIRREL,-0.02620864
TCGA-DX-A6BH-01,KIRREL,-0.026187122
TCGA-EL-A3CW-01,KIRREL,-0.026177794
TCGA-2G-AAM2-01,KIRREL,-0.026176274
TCGA-A2-A0T7-01,KIRREL,-0.026148409
TCGA-XU-A92X-01,KIRREL,-0.026146919
TCGA-WB-A81K-01,KIRREL,-0.026146859
TCGA-KN-8418-01,KIRREL,-0.026146084
TCGA-QT-A5XM-01,KIRREL,-0.026145667
TCGA-BC-A10X-01,KIRREL,-0.026136875
TCGA-S7-A7WX-01,KIRREL,-0.026117712
TCGA-ZM-AA0F-01,KIRREL,-0.026114106
TCGA-F2-7273-01,KIRREL,-0.026101828
TCGA-EL-A3ZN-01,KIRREL,-0.026099294
TCGA-CH-5789-01,KIRREL,-0.026097924
