Sample,Gene,SE_Score
MSTO211H,TBC1D3,-0.013185501
RT4,TBC1D3,-0.011598587
CAL33,TP53,-0.010624588
SNU398,TBC1D3,-0.010233164
H4,HMGCS1,-0.009948075
MOLM13,TBC1D3,-0.009718657
SKHEP1,TSC1,-0.009595647
KU1919,ADSL,-0.009208381
697,TP53,-0.00918892
IMR32,MVK,-0.009067297
SIMA,TSC2,-0.008623511
T24,TP53,-0.008397728
VMCUB1,CAD,-0.008381516
KP3,UMPS,-0.008368552
RKN,YRDC,-0.008263707
ONS76,ADSL,-0.007949829
HCC1395,TBC1D3,-0.007932901
PANC0203,NF2,-0.00778535
PSN1,TP53,-0.0077092946
NCIH520,TP53,-0.007604748
OCIAML2,IRF4,-0.0075209737
JHOS4,SDHB,-0.0074259043
HSC2,TYMS,-0.0073499233
PANC1005,SLC7A1,-0.007345259
NCIH747,ATIC,-0.007247776
PANC0403,RAB10,-0.007244706
M059K,YRDC,-0.0072377324
BFTC905,GMPS,-0.007234752
BICR22,CAD,-0.0072327554
MIAPACA2,PPCDC,-0.0072050095
UACC257,TP53,-0.0071617365
D283MED,HMGCS1,-0.0070557594
NCIH1650,ACO2,-0.0070462227
ISTMES1,TSC1,-0.007009268
MDAMB231,CAB39,-0.006980546
OE21,SDHB,-0.006979525
OCIAML3,PTEN,-0.0068068504
OV90,ADSL,-0.0066961646
UMUC3,ADSL,-0.006624639
HT1197,TBC1D3,-0.0066051483
HCC1428,NAMPT,-0.006583512
MDAMB436,UMPS,-0.006566882
CFPAC1,AMBRA1,-0.006561905
HCC1143,TBC1D3,-0.0065488815
CHP212,TSC2,-0.0065424144
HS683,FAM25A,-0.0065392256
TE8,TP53,-0.006502971
NCIH1299,ADSS,-0.0064715
OE33,TP53,-0.0064567924
CCFSTTG1,TBC1D3,-0.006416559
LU99,MRPL39,-0.006413102
NCIH2122,CCND2,-0.0063515306
DU4475,TBC1D3,-0.006304264
KALS1,ADSL,-0.0062898993
MV411,TBC1D3,-0.0062344074
CAKI1,TAOK1,-0.006207794
HCC827,TRPM7,-0.006186962
OVISE,AHCY,-0.0061353445
769P,CAB39,-0.0061229467
