Sample,Gene,SE_Score
M059K,PTPMT1,-0.027816892
MSTO211H,TBC1D3,-0.027776957
KELLY,TBC1D3,-0.024583578
NCIH1650,TBC1D3,-0.023572683
CFPAC1,ITGAV,-0.02251476
OCIAML3,TBC1D3,-0.02115345
SKNDZ,TBC1D3,-0.020733953
NCIH2452,JUN,-0.020602077
HT1080,FERMT2,-0.02018851
GAMG,RAD9A,-0.020026803
PANC1005,MFN2,-0.019973934
SIMA,TBC1D3,-0.019950867
GI1,TBC1D3,-0.019459128
U87MG,ITGAV,-0.019289851
YAPC,NR2C2AP,-0.019096494
HT1197,TBC1D3,-0.018708944
U251MG,FDXR,-0.018074393
HS683,RAD9A,-0.018051863
KALS1,RAD9A,-0.017869353
PSN1,TRUB2,-0.01784119
T84,TBC1D3,-0.017598629
EFM19,FXN,-0.017578423
OE21,POLG,-0.017535388
CAS1,FXN,-0.017295003
DAOY,NR2C2AP,-0.017168641
BFTC905,POLG,-0.017122746
NCIH2122,CCND1,-0.017109096
U118MG,PTPMT1,-0.017044365
SKNAS,RAD9A,-0.01687777
HCC1143,POLG,-0.016790152
CCFSTTG1,TBC1D3,-0.016690254
KYSE180,POLG,-0.016652524
OV7,HIF1A,-0.016457528
JHOS2,CIAO1,-0.016437411
HCC827,MIPEP,-0.016341329
LN18,TBC1D3,-0.016250849
SNU449,TAMM41,-0.01624304
RPMI8226,TBC1D3,-0.016216755
HUPT3,TELO2,-0.016161919
SF295,CDAN1,-0.016042054
KYSE270,POLG,-0.016023874
MV411,IBA57,-0.016023755
RKN,CDIPT,-0.016022742
T24,JUN,-0.015972555
UMUC3,RAD9A,-0.015946448
BICR22,HSPA14,-0.015896976
CHP212,AASDHPPT,-0.015878916
BT549,ITGAV,-0.015850186
42MGBA,ITGAV,-0.015813768
SJSA1,DPAGT1,-0.015724659
TCCSUP,PET117,-0.015713096
CAL29,QRSL1,-0.015674353
RT4,FGFR1,-0.015538245
MDAMB436,TBC1D3,-0.01546514
697,MRPL46,-0.0154495835
HT1376,FERMT2,-0.01541096
D283MED,TBC1D3,-0.015100837
LCLC103H,FERMT2,-0.015100598
SKHEP1,TRMT61A,-0.014918357
DANG,GPX4,-0.014892101
