Sample,Gene,SE_Score
TCGA-V4-A9F1-01,TP53,-0.09193775
TCGA-EM-A2CP-01,TP53,-0.09155011
TCGA-ZM-AA0B-01,TP53,-0.09083998
TCGA-WC-A87W-01,TP53,-0.09075755
TCGA-ET-A40P-01,TP53,-0.090316266
TCGA-WB-A80K-01,TP53,-0.09023562
TCGA-W2-A7H7-01,TP53,-0.08992246
TCGA-FY-A2QD-01,TP53,-0.089762
TCGA-CH-5746-01,TP53,-0.089714885
TCGA-MQ-A4LC-01,TP53,-0.089591146
TCGA-CH-5789-01,TP53,-0.08953583
TCGA-RW-A68B-01,TP53,-0.08942711
TCGA-W5-AA2H-01,TP53,-0.08940536
TCGA-TS-A8AV-01,TP53,-0.08934048
TCGA-RM-A68T-01,TP53,-0.08932659
TCGA-XM-A8RL-01,TP53,-0.08930859
TCGA-RW-A68C-01,TP53,-0.08928411
TCGA-EM-A2CO-01,TP53,-0.08893594
TCGA-HT-8015-01,TP53,-0.08893356
TCGA-ZB-A96P-01,TP53,-0.08890885
TCGA-2G-AAGY-01,TP53,-0.08890322
TCGA-G9-6367-01,TP53,-0.088867694
TCGA-EW-A1P1-01,TP53,-0.088860184
TCGA-FK-A3SE-01,TP53,-0.08879319
TCGA-2Z-A9JI-01,TP53,-0.0887306
TCGA-FG-8181-01,TP53,-0.08870948
TCGA-FY-A3WA-01,TP53,-0.088674724
TCGA-HT-8107-01,TP53,-0.08865443
TCGA-RD-A8N2-01,TP53,-0.08852413
TCGA-EJ-A46D-01,TP53,-0.0884836
TCGA-VD-A8K7-01,TP53,-0.088427484
TCGA-2G-AAGC-01,TP53,-0.08836928
TCGA-YT-A95H-01,TP53,-0.08825919
TCGA-W2-A7HB-01,TP53,-0.08825916
TCGA-X7-A8M4-01,TP53,-0.08825222
TCGA-DJ-A2Q1-01,TP53,-0.088202596
TCGA-2G-AAGX-01,TP53,-0.08814967
TCGA-FK-A4UB-01,TP53,-0.08813968
TCGA-E8-A44M-01,TP53,-0.08807838
TCGA-SP-A6QI-01,TP53,-0.087996304
TCGA-EJ-7792-01,TP53,-0.08797681
TCGA-BJ-A45E-01,TP53,-0.08796269
TCGA-3H-AB3O-01,TP53,-0.08786878
TCGA-2G-AAKM-01,TP53,-0.087862045
TCGA-Q3-A5QY-01,TP53,-0.08785048
TCGA-XM-A8RD-01,TP53,-0.0877721
TCGA-S7-A7WV-01,TP53,-0.08774218
TCGA-WB-A80P-01,TP53,-0.087739356
TCGA-5G-A9ZZ-01,TP53,-0.08764431
TCGA-KN-8437-01,TP53,-0.08761731
TCGA-EM-A2CU-01,TP53,-0.087591976
TCGA-X7-A8DF-01,TP53,-0.08756724
TCGA-QT-A5XM-01,TP53,-0.08754966
TCGA-EL-A4KD-01,TP53,-0.087533325
TCGA-EL-A3ZN-01,TP53,-0.08751884
TCGA-S6-A8JW-01,TP53,-0.08747023
TCGA-V4-A9F2-01,TP53,-0.08744267
TCGA-RW-A67W-01,TP53,-0.08739823
TCGA-4K-AA1H-01,TP53,-0.087377846
TCGA-ET-A39R-01,TP53,-0.087358296
TCGA-2G-AAGK-01,TP53,-0.087271065
TCGA-C5-A8YT-01,TP53,-0.087269336
TCGA-RW-A68F-01,TP53,-0.08726448
TCGA-OR-A5L9-01,TP53,-0.08721405
TCGA-2G-AALZ-01,TP53,-0.0871996
TCGA-V4-A9EW-01,TP53,-0.0871793
TCGA-A2-A1G6-01,TP53,-0.08713898
TCGA-OL-A6VR-01,TP53,-0.08708441
TCGA-V4-A9E5-01,TP53,-0.087073475
TCGA-EL-A3CW-01,TP53,-0.08706081
TCGA-AC-A2FK-01,TP53,-0.08703154
TCGA-DX-AB2L-01,TP53,-0.08700913
TCGA-WB-A80M-01,TP53,-0.08699247
TCGA-EJ-A46B-01,TP53,-0.08697191
TCGA-YZ-A980-01,TP53,-0.08696443
TCGA-V4-A9F4-01,TP53,-0.08695826
TCGA-XU-AAXZ-01,TP53,-0.0869557
TCGA-J8-A3YF-01,TP53,-0.08694593
TCGA-S7-A7WL-01,TP53,-0.0868406
TCGA-SP-A6QK-01,TP53,-0.086838335
TCGA-HT-7691-01,TP53,-0.0867742
TCGA-FP-8210-01,TP53,-0.086769134
TCGA-SO-A8JP-01,TP53,-0.08672767
TCGA-ZB-A96G-01,TP53,-0.0866898
TCGA-V4-A9ED-01,TP53,-0.08664006
TCGA-WB-A81V-01,TP53,-0.08655855
TCGA-P7-A5NY-01,TP53,-0.0865407
TCGA-HU-A4GJ-01,TP53,-0.08653507
TCGA-85-A4PA-01,TP53,-0.086515546
TCGA-RT-A6Y9-01,TP53,-0.0864937
TCGA-X7-A8DB-01,TP53,-0.08646843
TCGA-WZ-A8D5-01,TP53,-0.08645165
TCGA-XM-AAZ2-01,TP53,-0.08640131
TCGA-M7-A720-01,TP53,-0.08637169
TCGA-FC-A8O0-01,TP53,-0.08636123
TCGA-WC-A884-01,TP53,-0.08632614
TCGA-2G-AAGN-01,TP53,-0.08630514
TCGA-37-4129-01,TP53,-0.08630514
TCGA-77-A5FZ-01,TP53,-0.08630514
TCGA-98-A53C-01,TP53,-0.08630514
TCGA-BJ-A28T-01,TP53,-0.08630514
TCGA-DJ-A3UZ-01,TP53,-0.08630514
TCGA-ED-A627-01,TP53,-0.08630514
TCGA-EJ-A46E-01,TP53,-0.08630514
TCGA-EJ-A46H-01,TP53,-0.08630514
TCGA-EL-A3H3-01,TP53,-0.08630514
TCGA-IB-AAUV-01,TP53,-0.08630514
TCGA-IG-A4QT-01,TP53,-0.08630514
TCGA-P5-A5F6-01,TP53,-0.08630514
TCGA-SQ-A6I4-01,TP53,-0.08630514
TCGA-W4-A7U4-01,TP53,-0.08630514
TCGA-XF-AAN8-01,TP53,-0.08630514
TCGA-XM-A8RE-01,TP53,-0.08630514
TCGA-HT-7680-01,TP53,-0.08628458
TCGA-RD-A8N0-01,TP53,-0.08623305
TCGA-3U-A98G-01,TP53,-0.086173296
TCGA-WB-A81K-01,TP53,-0.08614293
TCGA-HC-8260-01,TP53,-0.08613548
TCGA-S7-A7WU-01,TP53,-0.08612406
TCGA-W2-A7HE-01,TP53,-0.086093575
TCGA-DX-A2J4-01,TP53,-0.08608258
TCGA-YL-A9WX-01,TP53,-0.08606991
TCGA-KO-8405-01,TP53,-0.086036354
TCGA-ZM-AA0F-01,TP53,-0.08598888
TCGA-EM-A1CS-01,TP53,-0.0859541
TCGA-XM-A8RB-01,TP53,-0.08593166
TCGA-2G-AAKG-01,TP53,-0.085917145
TCGA-YT-A95G-01,TP53,-0.085903585
TCGA-XU-AAY1-01,TP53,-0.085893065
TCGA-VD-A8KO-01,TP53,-0.085886866
TCGA-FG-8189-01,TP53,-0.085861176
TCGA-BJ-A3F0-01,TP53,-0.085853666
TCGA-D8-A27E-01,TP53,-0.08585283
TCGA-SR-A6MZ-01,TP53,-0.08585051
TCGA-EJ-A46I-01,TP53,-0.08584353
TCGA-EL-A3ZS-01,TP53,-0.08576867
TCGA-WB-A81S-01,TP53,-0.0857546
TCGA-V4-A9EU-01,TP53,-0.085737854
TCGA-2G-AALY-01,TP53,-0.08572671
TCGA-YU-A90Y-01,TP53,-0.085691154
TCGA-OR-A5JL-01,TP53,-0.085686535
TCGA-S6-A8JX-01,TP53,-0.08567101
TCGA-VD-AA8S-01,TP53,-0.08566919
TCGA-TT-A6YO-01,TP53,-0.08566213
TCGA-WC-A883-01,TP53,-0.085650474
TCGA-2G-AAGI-01,TP53,-0.085645914
TCGA-EJ-7794-01,TP53,-0.08562526
TCGA-XU-A92X-01,TP53,-0.08561942
TCGA-OR-A5JR-01,TP53,-0.085603744
TCGA-XJ-A9DK-01,TP53,-0.08558196
TCGA-ZM-AA0E-01,TP53,-0.0855664
TCGA-WB-A819-01,TP53,-0.085558444
TCGA-EE-A2GK-06,TP53,-0.08555457
TCGA-EM-A2CK-01,TP53,-0.08554357
TCGA-EL-A4JZ-01,TP53,-0.0855352
TCGA-V4-A9F7-01,TP53,-0.08553165
TCGA-3Q-A9WF-01,TP53,-0.08552438
TCGA-IB-AAUR-01,TP53,-0.08548507
TCGA-RT-A6YC-01,TP53,-0.0854505
TCGA-MJ-A68J-01,TP53,-0.0854049
TCGA-XU-AAXW-01,TP53,-0.085395455
TCGA-BJ-A18Y-01,TP53,-0.08539149
TCGA-IB-7897-01,TP53,-0.085377485
